timeStamp,label,responseCode,responseMessage,failureMessage,scenario,request_type,run
2025-07-02 13:56:56.975,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:56.976,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:56.976,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:57.407,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:56.976,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:56.976,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:57.407,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:57.407,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:57.407,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:57.844,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:57.843,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:57.844,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:57.845,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:57.994,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:58.451,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:58.452,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:58.451,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:58.451,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:58.451,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:58.452,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:58.451,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:58.642,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:58.643,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:58.643,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:59.093,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:59.092,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:59.092,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:59.093,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:59.092,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:59.092,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:59.093,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:59.094,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:59.092,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:59.093,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:59.093,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:59.094,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:59.093,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:59.686,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:59.251,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:59.686,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:59.251,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:59.687,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:59.687,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:59.687,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:59.687,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:00.225,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:00.221,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:00.224,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:00.223,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:00.224,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:00.223,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:00.382,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:00.846,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
